Date,Open,High,Low,Close,Adj Close,Volume,Change
2021-04-27,261.584991,263.190002,260.119995,261.970001,260.390686,31014213,0.001472
2021-04-28,256.078003,256.539886,252.949997,254.559998,253.025360,46903119,-0.005928
2021-04-29,255.460007,256.100006,249.000000,252.509995,250.987717,40589023,-0.011548
2021-04-30,249.740005,253.080002,249.600006,252.179993,250.659698,30945098,0.009770
2021-05-03,253.399994,254.350006,251.119995,251.860001,250.341629,19626568,-0.006077
2021-05-04,250.970001,251.210007,245.759995,247.789993,246.296173,32756052,-0.012671
2021-05-05,249.059998,249.500000,245.820007,246.470001,244.984131,21901325,-0.010399
2021-05-06,246.449997,249.860001,244.690002,249.729996,248.224472,26491085,0.013309
2021-05-07,252.149994,254.300003,251.169998,252.460007,250.938019,27032912,0.001229
2021-05-10,250.869995,251.729996,247.119995,247.179993,245.689850,29299890,-0.014709
2021-05-11,244.550003,246.600006,242.570007,246.229996,244.745560,33641589,0.006870
2021-05-12,242.164993,244.380005,238.070007,239.000000,237.559174,36684370,-0.013070
2021-05-13,241.800003,245.600006,241.419998,243.029999,241.564865,29624298,0.005087
2021-05-14,245.574997,249.179993,245.490005,248.149994,246.654007,23901081,0.010486
2021-05-17,246.550003,246.589996,243.520004,245.179993,243.701904,24970168,-0.005557
2021-05-18,246.270004,246.410004,242.899994,243.080002,241.614578,20167975,-0.012953
2021-05-19,239.309998,243.229996,238.600006,243.119995,242.212326,25739807,0.015921
2021-05-20,243.960007,247.949997,243.860001,246.479996,245.559784,21800716,0.010330
2021-05-21,247.565002,248.330002,244.740005,245.169998,244.254669,21863058,-0.009674
2021-05-24,247.785004,251.160004,247.509995,250.779999,249.843735,21411547,0.012087
2021-05-25,251.768997,252.750000,250.820007,251.720001,250.780228,17704303,-0.000195
2021-05-26,251.429993,252.940002,250.750000,251.490005,250.551086,17771600,0.000239
2021-05-27,251.169998,251.479996,249.250000,249.309998,248.379227,24426244,-0.007405
2021-05-28,250.994995,252.080002,249.559998,249.679993,248.747818,18274942,-0.005239
2021-06-01,251.229996,251.289993,246.960007,247.399994,246.476349,23213310,-0.015245
2021-06-02,248.125000,249.270004,245.839996,247.300003,246.376724,19406705,-0.003325
2021-06-03,245.220001,246.339996,243.000000,245.710007,244.792679,25307711,0.001998
2021-06-04,247.759995,251.649994,247.509995,250.789993,249.853683,25281094,0.012230
2021-06-07,249.979996,254.089996,249.809998,253.809998,252.862411,23079167,0.015321
2021-06-08,255.160004,256.010010,252.509995,252.570007,251.627060,22454998,-0.010150
2021-06-09,253.809998,255.529999,253.210007,253.589996,252.643234,17937634,-0.000867
2021-06-10,254.289993,257.459991,253.669998,257.239990,256.279602,24563619,0.011601
2021-06-11,257.984985,258.486786,256.609985,257.890015,256.927185,18999731,-0.000368
2021-06-14,257.899994,259.950012,256.799988,259.890015,258.919739,19150507,0.007716
2021-06-15,259.774994,259.989990,257.679993,258.359985,257.395416,18038931,-0.005447
2021-06-16,259.399994,260.579987,254.419998,257.380005,256.419098,27219956,-0.007787
2021-06-17,256.065002,261.750000,256.010010,260.899994,259.925964,27565537,0.018882
2021-06-18,259.630005,262.299988,258.750000,259.429993,258.461426,37202217,-0.000770
2021-06-21,259.820007,263.519989,257.920013,262.630005,261.649475,26696119,0.010815
2021-06-22,262.720001,265.790009,262.399994,265.510010,264.518738,24694090,0.010620
2021-06-23,265.989990,266.829987,264.429993,265.274994,264.284607,19518681,-0.002688
2021-06-24,266.160004,267.850006,265.470001,266.690002,265.694336,21446867,0.001991
2021-06-25,266.230011,267.250000,264.760010,265.019989,264.030579,25611113,-0.004545
2021-06-28,266.184998,268.899994,265.910004,268.720001,267.716766,19590024,0.009523
2021-06-29,268.864990,271.649994,267.980011,271.399994,270.386719,19937811,0.009429
2021-06-30,270.690002,271.359802,269.604309,270.899994,269.888611,21656457,0.000776
2021-07-01,269.609985,271.839996,269.600006,271.600006,270.586029,16725323,0.007381
2021-07-02,272.820007,278.000000,272.500000,277.649994,276.613403,26474408,0.017704
2021-07-06,278.029999,279.369812,274.299988,277.660004,276.623383,31565560,-0.001331
2021-07-07,279.399994,280.694489,277.149994,279.929993,278.884888,23260031,0.001897
2021-07-08,276.899994,278.730011,274.869995,277.420013,276.384277,24618591,0.001878
2021-07-09,275.720001,278.049988,275.320007,277.940002,276.902344,23916665,0.008052
2021-07-12,279.157013,279.769989,276.579987,277.320007,276.284668,18931695,-0.006581
2021-07-13,277.519989,282.847687,277.390015,280.980011,279.930969,26120128,0.012468
2021-07-14,282.345001,283.660004,280.549988,282.510010,281.455292,23113662,0.000584
2021-07-15,282.000000,282.510010,279.829987,281.029999,279.980774,22604227,-0.003440
2021-07-16,282.070007,284.100006,279.459991,280.750000,279.701843,26186848,-0.004680
2021-07-19,278.933502,280.369995,274.450012,277.010010,275.975800,32935634,-0.006896
2021-07-20,278.029999,280.970001,276.260010,279.320007,278.277161,26259741,0.004640
2021-07-21,278.904999,281.519989,277.290009,281.399994,280.349396,24364320,0.008946
2021-07-22,283.839996,286.420013,283.420013,286.140015,285.071716,23384059,0.008103
2021-07-23,287.369995,289.989990,286.500000,289.670013,288.588531,22768071,0.008004
2021-07-26,289.000000,289.690002,286.641998,289.049988,287.970825,23176073,0.000173
2021-07-27,289.429993,289.575012,282.950012,286.540009,285.470215,33604073,-0.009985
2021-07-28,288.989990,290.149994,283.830292,286.220001,285.151398,33566853,-0.009585
2021-07-29,286.234985,288.618011,286.079987,286.500000,285.430389,18168294,0.000926
2021-07-30,285.170013,286.660004,283.910004,284.910004,283.846313,20944846,-0.000912
2021-08-02,286.359985,286.774994,283.739990,284.820007,283.756653,16267357,-0.005378
2021-08-03,285.420013,287.230011,284.000000,287.119995,286.048065,17879048,0.005956
2021-08-04,286.220001,287.588287,284.649994,286.510010,285.440338,16191301,0.001013
2021-08-05,286.880005,289.630005,286.100006,289.519989,288.439087,13900167,0.009202
2021-08-06,288.505005,289.500000,287.623810,289.459991,288.379333,16589336,0.003310
2021-08-09,289.750000,291.549988,287.809998,288.329987,287.253510,16117629,-0.004901
2021-08-10,288.799988,289.250000,285.200012,286.440002,285.370605,18616578,-0.008172
2021-08-11,287.209991,288.660004,285.859985,286.950012,285.878723,13955934,-0.000905
2021-08-12,286.630005,289.970001,286.339996,289.809998,288.728027,14570391,0.011094
2021-08-13,289.480011,292.899994,289.299988,292.850006,291.756653,18249046,0.011642
2021-08-16,293.190002,294.820007,290.019989,294.600006,293.500153,22516027,0.004809
2021-08-17,292.390015,293.429993,291.079987,293.079987,291.985809,20075250,0.002360
2021-08-18,292.040009,294.820007,290.269989,290.730011,290.199097,21812985,-0.004486
2021-08-19,288.693512,297.470001,288.640015,296.769989,296.228027,29850461,0.027976
2021-08-20,299.720001,305.839996,298.059998,304.359985,303.804169,40817646,0.015481
